head,relation,tail
振捣,use_equipment,刀盘电机
振捣,use_material,混凝土
振捣,use_equipment,螺栓拧紧机
振捣,control_Parameter,环片拼装间隙强度等级
振捣,control_Parameter,温湿度
振捣,cause_Hazards,端面破损
振捣,use_equipment,液压千斤顶
振捣,use_equipment,模具
振捣,use_material,掺合料
振捣,control_Parameter,配合比
振捣,use_material,减水剂
振捣,use_equipment,测量传感器
振捣,cause_Hazards,偏位错台
振捣,use_material,脱模剂
振捣,use_material,水泥
振捣,use_equipment,驱动电机
振捣,control_Parameter,螺栓预紧力
振捣,control_Parameter,拼装间隙厚度测量值
振捣,use_equipment,注浆泵
振捣,use_equipment,钢模
振捣,use_material,外加剂
振捣,cause_Hazards,接缝开裂
振捣,control_Parameter,焊接时间
振捣,control_Parameter,螺栓预紧力含量
振捣,use_material,外加剂掺量
振捣,use_material,钢筋间距
振捣,use_material,止水带材质
振捣,cause_Hazards,掉皮
振捣,use_material,钢筋
振捣,control_Parameter,螺栓预紧力强度等级
振捣,control_Parameter,密封垫压缩量
振捣,use_equipment,顶推油缸
振捣,use_material,混凝土配合比
振捣,control_Parameter,试压强度
振捣,control_Parameter,设计强度
振捣,use_material,粉煤灰
振捣,use_material,钢筋保护层厚度
振捣,control_Parameter,钢筋间距压力
振捣,control_Parameter,螺栓预紧力压力
振捣,use_equipment,振捣棒
振捣,control_Parameter,温差
振捣,control_Parameter,湿养强度
振捣,cause_Hazards,孔洞缺陷
振捣,control_Parameter,坍落度
振捣,cause_Hazards,掉角破损
振捣,cause_Hazards,密封不严
振捣,control_Parameter,蒸发量
振捣,use_material,防水材料
振捣,control_Parameter,混凝土保护层含量
振捣,control_Parameter,环片拼装间隙厚度测量值
振捣,control_Parameter,水胶比
振捣,control_Parameter,厚度
振捣,use_equipment,振动器
振捣,use_equipment,振动棒
振捣,use_equipment,震动台
振捣,control_Parameter,静停时间
振捣,control_Parameter,振捣时间
振捣,control_Parameter,水灰比
振捣,control_Parameter,注浆压力
振捣,use_equipment,土压传感器
振捣,use_material,骨料
振捣,use_material,钢纤维
振捣,control_Parameter,螺栓预紧力厚度
振捣,control_Parameter,处理时间
振捣,control_Parameter,升降温速度
振捣,control_Parameter,光面时间
振捣,use_equipment,同步千斤顶
振捣,use_equipment,蒸养罩
振捣,use_equipment,拼装机
振捣,control_Parameter,环片拼装间隙压力
振捣,cause_Hazards,裂缝扩展
振捣,use_material,橡胶
振捣,control_Parameter,混凝土保护层厚度
振捣,use_material,钢筋锈蚀
振捣,cause_Hazards,渗漏水
振捣,control_Parameter,湿度
振捣,control_Parameter,水养时间
振捣,use_material,集料
振捣,cause_Hazards,隧道漏水
振捣,use_equipment,模板
振捣,control_Parameter,湿度差
振捣,control_Parameter,注浆量压力
振捣,use_material,混凝土强度
振捣,cause_Hazards,混凝土剥落
振捣,control_Parameter,抗压强度
振捣,control_Parameter,环片拼装间隙压力读数波动较大，记录峰值38k[UNK]a。
振捣,control_Parameter,环片拼装间隙厚度
振捣,use_equipment,水泥厂
振捣,use_material,助磨剂
振捣,use_material,木钙
振捣,control_Parameter,养护温度
环管片,has_Activity,振捣
环管片,has_Activity,粘模
环管片,has_Activity,下料
环管片,has_Activity,脱模
环管片,has_Activity,收面
环管片,has_Activity,养护
环管片,has_Activity,蒸汽养护
环管片,has_Activity,漫水养护
环管片,has_Activity,搅拌
环管片,has_Activity,浇筑
环管片,has_Activity,静停
环管片,has_Activity,蒸养
环管片,has_Activity,混凝土振捣
环管片,has_Activity,浇筑振捣
止水带,has_Activity,振捣
止水带,has_Activity,粘模
止水带,has_Activity,下料
止水带,has_Activity,脱模
止水带,has_Activity,收面
止水带,has_Activity,养护
止水带,has_Activity,蒸汽养护
止水带,has_Activity,漫水养护
止水带,has_Activity,搅拌
止水带,has_Activity,浇筑
止水带,has_Activity,静停
止水带,has_Activity,蒸养
止水带,has_Activity,混凝土振捣
止水带,has_Activity,浇筑振捣
端面破损,cause_Problems,裂纹
端面破损,cause_Problems,气泡
端面破损,cause_Problems,蜂窝麻面
端面破损,cause_Problems,粘皮
端面破损,cause_Problems,粘连
端面破损,cause_Problems,空洞
端面破损,cause_Problems,蜂窝
端面破损,cause_Problems,缺棱掉角
端面破损,cause_Problems,蜂窝空洞
端面破损,cause_Problems,浮浆
端面破损,cause_Problems,龟裂纹
端面破损,cause_Problems,沉缩裂缝
端面破损,cause_Problems,缺角
端面破损,cause_Problems,螺栓
端面破损,cause_Problems,裂缝
端面破损,cause_Problems,露筋
端面破损,cause_Problems,翘曲
加宽管片,has_Activity,振捣
加宽管片,has_Activity,粘模
加宽管片,has_Activity,下料
加宽管片,has_Activity,脱模
加宽管片,has_Activity,收面
加宽管片,has_Activity,养护
加宽管片,has_Activity,蒸汽养护
加宽管片,has_Activity,漫水养护
加宽管片,has_Activity,搅拌
加宽管片,has_Activity,浇筑
加宽管片,has_Activity,静停
加宽管片,has_Activity,蒸养
加宽管片,has_Activity,混凝土振捣
加宽管片,has_Activity,浇筑振捣
偏位错台,cause_Problems,裂纹
偏位错台,cause_Problems,气泡
偏位错台,cause_Problems,蜂窝麻面
偏位错台,cause_Problems,粘皮
偏位错台,cause_Problems,粘连
偏位错台,cause_Problems,空洞
偏位错台,cause_Problems,蜂窝
偏位错台,cause_Problems,缺棱掉角
偏位错台,cause_Problems,蜂窝空洞
偏位错台,cause_Problems,浮浆
偏位错台,cause_Problems,龟裂纹
偏位错台,cause_Problems,沉缩裂缝
偏位错台,cause_Problems,缺角
偏位错台,cause_Problems,螺栓
偏位错台,cause_Problems,裂缝
偏位错台,cause_Problems,露筋
偏位错台,cause_Problems,翘曲
裂纹,has_Measures,在浇筑以后利用振捣棒充分
裂纹,affect_compnent,环管片
裂纹,has_Measures,要求施工班组对螺栓松动位置区域实施临时支护措施。
裂纹,appear_on_location,混凝土表面
裂纹,appear_on_location,侧墙
裂纹,appear_on_location,左线32环
裂纹,has_Measures,要求施工班组对裂缝扩展段区域实施临时支护措施。
裂纹,affect_compnent,止水带
裂纹,has_Measures,安排人员每天测定环境
裂纹,appear_on_location,注浆孔附近
裂纹,appear_on_location,盾构到达段
裂纹,appear_on_location,止水槽
裂纹,has_Measures,要求施工班组对孔洞缺陷处区域实施临时支护措施。
裂纹,affect_compnent,加宽管片
裂纹,has_Measures,班组自检
裂纹,appear_on_location,右线15环
裂纹,has_Measures,及时调整混凝土
裂纹,has_Measures,搅拌时先投入砂、石和水，再加入水泥，避免水泥直接与热水搅拌，以免产生假凝现象
裂纹,has_Measures,"厚大型管片宜采取分层振捣的方式,根据模具大小合理布置附着式振动器,合理设定振动频率,以保障混凝土浇筑质量"
裂纹,appear_on_location,侧模
裂纹,has_Measures,对蜂窝麻面区域部位已安排专项验收，请相关责任人签字确认。
裂纹,appear_on_location,底板
裂纹,appear_on_location,端板
裂纹,affect_compnent,钢筋笼
裂纹,has_Measures,预留的4个钢筋起吊环上，保证钢筋笼在水平方向上不发生偏移，
裂纹,has_Measures,外弧向上，内弧向下，不可随便摆放，不可乱挂吊点，防止成型的
裂纹,has_Measures,出现扭曲变形情况
裂纹,appear_on_location,拱顶
裂纹,has_Measures,实时监控体系
裂纹,has_Measures,钢筋骨架用四点吊钩吊至指定区域按型号堆放整齐
裂纹,has_Measures,应立即开展螺栓松动位置复核并形成整改记录。
裂纹,affect_compnent,预埋件
裂纹,affect_compnent,环片
裂纹,has_Measures,应立即开展偏位错台位置复核并形成整改记录。
裂纹,has_Measures,管片养护：①、按工艺规定，控制好静、升、恒、降四阶段蒸养过程，规范如实填写蒸养记录
裂纹,appear_on_location,接口处
裂纹,has_Measures,要求施工班组对蜂窝麻面区域区域实施临时支护措施。
裂纹,appear_on_location,外侧拱部
裂纹,has_Measures,质量检查表
裂纹,has_Measures,对孔洞缺陷处部位已安排专项验收，请相关责任人签字确认。
裂纹,has_Measures,监理抽检
裂纹,affect_compnent,钢筋笼骨架
裂纹,affect_compnent,钢筋骨架
裂纹,has_Measures,"制定设备机具保养手册,定期对设备进行保养"
裂纹,has_Measures,质量验收记录
裂纹,has_Measures,质量员复核
裂纹,affect_compnent,管片
裂纹,affect_compnent,拱顶管片
裂纹,has_Measures,应立即开展裂缝扩展段复核并形成整改记录。
裂纹,appear_on_location,混凝土的切割端面
裂纹,appear_on_location,构件靠模的侧面
裂纹,has_Measures,当地铁管片浇筑成型后，不可急于脱模操作，而是要观察对应试块在同等条件下的养护情况，检验其具体的抗压强度系数是否符合脱模参数指标，如果达到可脱模性能再进行脱模以及吊运
裂纹,has_Measures,"二次振捣周边混凝土,以提高排气"
裂纹,has_Measures,对密封不严部位部位已安排专项验收，请相关责任人签字确认。
裂纹,appear_on_location,止水槽侧面
裂纹,has_Measures,需对裂缝扩展段部位加强巡查并做好风险提示牌。
裂纹,has_Measures,建议对密封不严部位进行加固处理并上报监理。
裂纹,has_Measures,应立即开展掉角破损处复核并形成整改记录。
裂纹,appear_on_location,盾构始发段
裂纹,appear_on_location,左线三十环
裂纹,appear_on_location,3号盾构井
裂纹,appear_on_location,内面侧
裂纹,appear_on_location,下行线十五环
裂纹,has_Measures,现场已下发裂缝扩展段整改通知单，需跟踪闭合。
裂纹,has_Measures,应立即开展蜂窝麻面区域复核并形成整改记录。
裂纹,has_Measures,需对密封不严部位部位加强巡查并做好风险提示牌。
裂纹,has_Measures,体积稍大的先凿除蜂窝处松散混凝土颗粒，用水洗刷干净后再用水泥砂浆掺修补胶修补
裂纹,appear_on_location,拱腰位置
裂纹,has_Measures,过程中，必须确保混凝土的配合比例精准，严格按照设计要求进行搅拌，混凝土的成型也需要注意各种细节，以保证管片的质量
裂纹,has_Measures,"做好施工人员的技术交底和培训工作,定期进行考核"
裂纹,affect_compnent,终止环管片
裂纹,appear_on_location,右线十环
裂纹,affect_compnent,螺栓孔
裂纹,has_Measures,监理停工令
裂纹,appear_on_location,钢筋表面
裂纹,has_Measures,制定详细的验收标准及抽检计划
裂纹,has_Measures,钢筋要保持平直没有局部的弯折现象
裂纹,has_Measures,管片应按生产日期及型号排列堆放整齐
裂纹,has_Measures,现场已下发渗漏水点整改通知单，需跟踪闭合。
裂纹,has_Measures,在混凝土浇注过程中还要密切观察
裂纹,has_Measures,是否偏移、脱落、变形等，如发现上述问题要及时修正，问题较严重修正困难时，要及时通知预制厂负责人
裂纹,has_Measures,密实而不离析
裂纹,has_Measures,在养护期间，应严格控制管片的养护环境，保持养护温度和湿度的稳定，并定期检测管片的强度发展情况，养护效果的稳定和可靠
裂纹,appear_on_location,右线五十环
裂纹,has_Measures,需对孔洞缺陷处部位加强巡查并做好风险提示牌。
裂纹,has_Measures,制定严格的升降温制度
裂纹,has_Measures,混凝土工程冬期施工时，需对混凝土生产人员进行专门培训，严格按冬期施工规范要求进行混凝土的生产和浇筑
裂纹,appear_on_location,左线一环
裂纹,has_Measures,检漏检验：每50环抽查1块
裂纹,has_Measures,焊机工作电流不得大于300
裂纹,affect_compnent,焊丝盘
裂纹,has_Measures,现场已下发偏位错台位置整改通知单，需跟踪闭合。
裂纹,has_Measures,严格控制混凝土搅拌与成型环节，以提高钢纤维混凝土管片的生产质量
裂纹,appear_on_location,管片侧面
裂纹,appear_on_location,端面
裂纹,has_Measures,对偏位错台位置部位已安排专项验收，请相关责任人签字确认。
裂纹,appear_on_location,拱脚位置
裂纹,appear_on_location,上行线二十环
裂纹,has_Measures,监理旁站
裂纹,affect_compnent,止水条
裂纹,has_Measures,移位的现象应该及时停止加工进程，以快捷高效的手段处理这些突发问题后，抢在混凝土开始凝结之前再次恢复加工，这样可以避免一些突发状况下由于人员的松懈大意造成的产品损耗浪费，同时也能够保证加工效率
裂纹,has_Measures,在生产过程中通过调节水温进行混凝土生产温度控制生产，冬天加热水夏天加冰水来保证混凝土温度，让气泡比较利于排出
