head,relation,tail
振捣,use_material,混凝土
振捣,use_equipment,模具
振捣,use_equipment,振捣棒
振捣,use_equipment,振动器
振捣,use_equipment,振动棒
环管片,has_Activity,振捣
气泡,appear_on_location,侧模
气泡,appear_on_location,管片侧面
粘模,use_material,脱模剂
粘模,use_equipment,驱动电机
蜂窝麻面,affect_compnent,环管片
蜂窝麻面,appear_on_location,混凝土表面
蜂窝麻面,appear_on_location,侧墙
蜂窝麻面,affect_compnent,止水带
蜂窝麻面,appear_on_location,止水槽
蜂窝麻面,appear_on_location,右线15环
蜂窝麻面,has_Measures,对蜂窝麻面区域部位已安排专项验收，请相关责任人签字确认。
蜂窝麻面,appear_on_location,底板
蜂窝麻面,affect_compnent,环片
蜂窝麻面,appear_on_location,接口处
蜂窝麻面,has_Measures,对孔洞缺陷处部位已安排专项验收，请相关责任人签字确认。
蜂窝麻面,affect_compnent,管片
蜂窝麻面,affect_compnent,拱顶管片
蜂窝麻面,appear_on_location,构件靠模的侧面
蜂窝麻面,has_Measures,对密封不严部位部位已安排专项验收，请相关责任人签字确认。
蜂窝麻面,appear_on_location,止水槽侧面
蜂窝麻面,appear_on_location,内面侧
蜂窝麻面,appear_on_location,管片侧面
蜂窝麻面,has_Measures,对偏位错台位置部位已安排专项验收，请相关责任人签字确认。
蜂窝麻面,has_Measures,对螺栓松动位置部位已安排专项验收，请相关责任人签字确认。
蜂窝麻面,appear_on_location,底板中部
下料,control_Parameter,配合比
下料,cause_Hazards,掉皮
下料,use_equipment,振捣棒
下料,cause_Hazards,掉角破损
下料,cause_Hazards,密封不严
下料,use_equipment,振动器
下料,use_equipment,振动棒
下料,control_Parameter,振捣时间
下料,cause_Hazards,混凝土剥落
管片,has_Activity,振捣
脱模,use_material,脱模剂
脱模,use_equipment,驱动电机
脱模,cause_Hazards,混凝土剥落
收面,use_material,粉煤灰
收面,use_material,钢筋保护层厚度
收面,use_equipment,振动器
粘皮,appear_on_location,侧模
粘皮,appear_on_location,止水槽侧面
粘皮,appear_on_location,钢筋表面
粘皮,appear_on_location,管片侧面
粘皮,affect_compnent,止水条
粘皮,appear_on_location,底板中部
粘皮,appear_on_location,内弯弧面
养护,use_material,外加剂掺量
养护,use_equipment,振捣棒
养护,control_Parameter,蒸发量
养护,use_equipment,振动器
养护,control_Parameter,静停时间
养护,control_Parameter,处理时间
养护,control_Parameter,升降温速度
养护,use_equipment,蒸养罩
养护,control_Parameter,水养时间
养护,control_Parameter,养护温度
密封不严,cause_Problems,气泡
蒸汽养护,use_material,粉煤灰
漫水养护,use_equipment,振动器
搅拌,control_Parameter,配合比
搅拌,use_material,减水剂
搅拌,use_equipment,测量传感器
搅拌,use_material,水泥
搅拌,use_material,混凝土配合比
搅拌,use_equipment,振动器
终止环管片,has_Activity,振捣
粘连,appear_on_location,侧模
空洞,appear_on_location,混凝土的切割端面
空洞,appear_on_location,构件靠模的侧面
空洞,appear_on_location,止水槽侧面
空洞,appear_on_location,左线三十环
空洞,has_Measures,严格控制混凝土搅拌与成型环节，以提高钢纤维混凝土管片的生产质量
蜂窝,affect_compnent,环管片
蜂窝,appear_on_location,混凝土表面
蜂窝,affect_compnent,止水带
蜂窝,appear_on_location,接口处
蜂窝,has_Measures,对孔洞缺陷处部位已安排专项验收，请相关责任人签字确认。
蜂窝,affect_compnent,管片
蜂窝,has_Measures,对密封不严部位部位已安排专项验收，请相关责任人签字确认。
蜂窝,appear_on_location,拱腰位置
蜂窝,has_Measures,对螺栓松动位置部位已安排专项验收，请相关责任人签字确认。
蜂窝,appear_on_location,底板中部
浇筑,use_equipment,振捣棒
浇筑,use_equipment,振动器
浇筑,use_equipment,振动棒
缺棱掉角,appear_on_location,注浆孔附近
缺棱掉角,appear_on_location,右线15环
缺棱掉角,appear_on_location,混凝土的切割端面
缺棱掉角,appear_on_location,构件靠模的侧面
缺棱掉角,appear_on_location,左线三十环
缺棱掉角,appear_on_location,3号盾构井
缺棱掉角,appear_on_location,拱腰位置
缺棱掉角,has_Measures,在养护期间，应严格控制管片的养护环境，保持养护温度和湿度的稳定，并定期检测管片的强度发展情况，养护效果的稳定和可靠
蜂窝空洞,has_Measures,应立即开展偏位错台位置复核并形成整改记录。
蜂窝空洞,affect_compnent,管片
蜂窝空洞,appear_on_location,混凝土的切割端面
蜂窝空洞,appear_on_location,构件靠模的侧面
蜂窝空洞,appear_on_location,止水槽侧面
蜂窝空洞,appear_on_location,左线三十环
蜂窝空洞,has_Measures,应立即开展蜂窝麻面区域复核并形成整改记录。
蜂窝空洞,has_Measures,体积稍大的先凿除蜂窝处松散混凝土颗粒，用水洗刷干净后再用水泥砂浆掺修补胶修补
蜂窝空洞,appear_on_location,右线十环
浮浆,appear_on_location,混凝土的切割端面
浮浆,appear_on_location,构件靠模的侧面
浮浆,appear_on_location,左线三十环
浮浆,appear_on_location,管片侧面
浮浆,appear_on_location,内弯弧面
龟裂纹,appear_on_location,左线三十环
龟裂纹,appear_on_location,拱腰位置
龟裂纹,appear_on_location,管片侧面
龟裂纹,appear_on_location,底板中部
龟裂纹,appear_on_location,内弯弧面
龟裂纹,appear_on_location,右面端面
沉缩裂缝,appear_on_location,注浆孔附近
沉缩裂缝,appear_on_location,接口处
沉缩裂缝,appear_on_location,混凝土的切割端面
沉缩裂缝,appear_on_location,盾构始发段
沉缩裂缝,appear_on_location,左线三十环
沉缩裂缝,appear_on_location,拱腰位置
沉缩裂缝,has_Measures,"做好施工人员的技术交底和培训工作,定期进行考核"
沉缩裂缝,appear_on_location,钢筋表面
沉缩裂缝,appear_on_location,管片侧面
蒸养,use_material,外加剂掺量
蒸养,control_Parameter,温差
蒸养,use_equipment,振动器
蒸养,control_Parameter,静停时间
蒸养,control_Parameter,处理时间
蒸养,control_Parameter,升降温速度
蒸养,control_Parameter,抗压强度
蒸养,control_Parameter,养护温度
缺角,has_Measures,应立即开展掉角破损处复核并形成整改记录。
缺角,appear_on_location,左线三十环
缺角,appear_on_location,3号盾构井
缺角,appear_on_location,拱腰位置
缺角,appear_on_location,左线一环
混凝土振捣,use_equipment,模具
混凝土振捣,use_equipment,振捣棒
混凝土振捣,use_equipment,振动器
混凝土振捣,use_equipment,振动棒
混凝土振捣,use_equipment,震动台
